State,City,Year,Population1,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Motor Vehicle Theft,Arson
Indiana,Fort Wayne,2020,272270,1124,39,97,245,743,6117,655,4952,510,87
Indiana,Fort Wayne,2021,,702,41,129,164,368,6136,611,4937,588,89
Indiana,Indianapolis,2020,890672,9657,215,622,2250,6570,31091,5413,20670,5008,368
Indiana,Indianapolis,2021,,6430,239,588,1726,3877,30831,4411,20598,5822,319
Iowa,Davenport,2020,101806,746,10,63,136,537,3977,904,2607,466,26
Iowa,Davenport,2021,,665,10,95,97,463,3632,636,2541,455,22
Kansas,Olathe,2020,142228,360,2,51,22,285,1948,155,1558,235,11
Kansas,Olathe,2021,,351,2,56,17,276,1811,143,1419,249,9
Kansas,Overland Park,2020,198036,415,4,41,43,327,3934,384,3004,546,13
Kansas,Overland Park,2021,,467,1,44,43,379,4321,364,3401,556,12
Kentucky,Lexington,2020,325851,1057,29,190,337,501,9423,1461,6916,1046,38
Kentucky,Lexington,2021,,947,31,186,279,451,8940,1181,6769,990,14
Kentucky,Louisville Metro,2020,673730,6364,167,175,1238,4784,25347,4924,15825,4598,170
Kentucky,Louisville Metro,2021,,6655,192,235,1276,4952,22447,4028,14299,4120,173
Massachusetts,Boston,2020,697323,4426,58,197,924,3247,13176,1740,10144,1292,44
Massachusetts,Boston,2021,,3776,34,218,763,2761,11283,1295,8881,1107,26
Massachusetts,Cambridge,2020,119938,341,1,25,67,248,2197,202,1914,81,13
Massachusetts,Cambridge,2021,,373,1,31,64,277,2372,209,2043,120,6
Massachusetts,Lowell,2020,110876,350,6,19,67,258,1631,225,1181,225,12
Massachusetts,Lowell,2021,,364,5,15,60,284,1498,198,1115,185,3
Massachusetts,Springfield,2020,153084,1482,18,70,350,1044,3736,620,2620,496,34
Massachusetts,Springfield,2021,,1445,18,57,306,1064,3588,579,2501,508,23
Michigan,Ann Arbor,2020,120647,302,1,55,38,208,1612,154,1377,81,4
Michigan,Ann Arbor,2021,,341,2,59,29,251,1660,192,1386,82,5
Michigan,Clinton Township,2020,100884,393,2,43,30,318,1235,146,914,175,2
Michigan,Clinton Township,2021,,350,7,40,27,276,1190,99,886,205,6
Michigan,Detroit,2020,659616,14494,321,695,1844,11634,21440,4390,11429,5621,771
Michigan,Detroit,2021,,14411,321,790,1522,11778,22163,4107,11398,6658,648
Michigan,Grand Rapids,2020,202513,1942,32,151,326,1433,5843,812,4192,839,69
Michigan,Grand Rapids,2021,,1849,16,140,272,1421,4838,537,3412,889,50
Michigan,Lansing,2020,118651,1716,16,129,196,1375,3586,1007,2002,577,44
Michigan,Lansing,2021,,1691,24,138,164,1365,2821,696,1647,478,39
Michigan,Sterling Heights,2020,132745,236,2,33,22,179,1147,96,897,154,4
